Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2020,9,23,1,Валютные махинации,Улыбнись,Игорь Акулич,Yustas,,Ребус про курс доллара,да,арифметика,,
2020,9,24,2,Из олимпиад по лингвистике,Что почитать?,,Сергей Чуб,,Лингвистические задачи из новой книги,,,,
2020,9,26,2,Квадратура яблока,Игры и головоломки,Владимир Красноухов,Алексей Вайнер,,Как сделать ананас из кусочков яблока?,,комбигеом,,
2020,9,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2020,9,32,2,Наш конкурс,Олимпиады,1: Григорий Гальперин ; 2: Александр Перепечко ; 3: Николай Авилов ; 4: Егор Бакаев ; 5: Павел Кожевников,Николай Крутиков,,,да,,,
2020,9,34,1,Подложка для кексов,Комикс,Александр Перепечко; Татьяна Перепечко,Yustas,,Ищем форму бумажной подложки для кексов,да,стереометрия,,
2020,8,-1,1,Обложка,,,Сергей Чуб,,,да,,,
2020,8,2,5,"Прямое на кривом, или Прогулки по искривлённой поверхности.",Оглянись вокруг,Валерия Сирота,Алексей Вайнер,,Как идти прямо по кривой поверхности?,,"геометрия, диффгеом",,
2020,8,7,1,«Домики и колодцы» на чайной кружке,Задачи в картинках,,Ольга Демидова,,Разгадываем Бусеньку: соединяем домики и колодцы на обычной кружке,,"топология, графы",,
2020,8,8,2,"Чуковский, Бэкон, Чайковский.",Две трети правды,Анастасия Челпанова ; Сергей Дориченко,Капыч,,"Чуковский, Чайковский или Бэкон? Какая история придумана?",,,,
2020,8,10,6,Комбинации квадратов.,Математический кружок,Егор Бакаев,Алексей Вайнер,,"Геометрические задачи, составленные из квадратов",,"комбигеом, планиметрия",,
2020,8,16,2,Про варенье.,Четыре задачи,Валерия Сирота,Мария Усеинова,,Неожиданная физика варенья,да,физика,,
2020,8,18,5,"Как Бусенька рисовала К<sub>3,3</sub> .",Математические сказки,Константин Кохась,Инга Коржнева,,Как Бусенька соединяла домики и колодцы,,графы,,
2020,8,23,1,Задача о шифровальной машине.,Игры и головоломки,"Георгий Караваев, ученик 10 класса",Евгений Паненко,,Разгадайте шифр по нескольким сообщениям,,"шифрование, логика",,
2020,8,24,4,Космические скорости.,Как это устроено,Борис Дружинин,Мария Усеинова,,"Какие космические скорости бывают, и как их определить",да,"физика, астрономия",,
2020,8,28,1,Разрезаем  равносторонний  треугольник,Смотри!,,Артём Костюкевич,,"Разрезаем равносторонний треугольник на 5, 10 и 15 равных частей.",,"планиметрия, комбигеом",,
2020,8,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2020,8,32,2,Наш конкурс,Олимпиады,56: Григорий Гальперин ; 57 : Александр Грибалко ; 58 : Борис Кордемский ; 59 : Михаил Евдокимов ; 60: Сергей Костин,Николай Крутиков,,,да,,,
2020,8,34,1,Пылесос и короткий шнур.,Задачи в картинках,Михаил Евдокимов,Николай Воронцов,,Справляемся пылесосом с коротким шнуром в большой комнате,да,планиметрия,,
2020,7,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2020,7,2,4,Отражения в зрачке и «волшебные» стёкла.,Как это устроено,Валерия Сирота,Алексей Вайнер,,Чем наш зрачок похож на волшебное зеркало,,"физика, оптика",,
2020,7,6,1,Проблема с периметром,Улыбнись,Задание прислала: Наталья Гончарук,Артём Костюкевич,,Что не так в этих задачах про периметр,,планиметрия,,
2020,7,7,5,Следующее число.,Математические сказки,Константин Кохась,Инга Коржнева,,Какое число - следующее после единицы?,,"теория чисел, теория множеств",,
2020,7,12,4,Разбиение на подобные треугольники.,Математический кружок,Александр Блинков,Мария Усеинова,,На сколько подобных ему частей можно разрезать треугольник?,да,планиметрия,,
2020,7,16,2,"Саврасов, Стравинский, Репин.",Две трети правды,Анастасия Челпанова,Капыч,,Три истории про художников: найдите придуманную,да,,,
2020,7,18,6,"Ганс Радемахер, Отто Тёплиц. О числах и фигурах.",Великие умы,Сергей Львовский,,,Как популяризовать математику: о книге «Числа и фигуры» и её авторах,,математика,,
