выпуск,первая,всего,название,рубрика,авторы,художники,дополнительно,броская,теги,сложность,год
2,13,3,Бумага всё стерпит,Своими руками,Григорий Фельдман,Артём Костюкевич,Фото: Дарья Котова,Как легко рвущаяся бумага может выдержать большой вес?,физика,,2013
2,24,2,Разоблачение необычного молотка,Своими руками,,,"Фото: Дарья Котова, Фото2: нет ссылок",,физика,,2013
2,34,1,Как взвесить гиппопотама,Задачи в картинках,,Леонид Гамарц,,,физика,,2013
3,10,2,Диск на воздушной подушке,Своими руками,Arvind Gupta ; Александр Бердников,,Фото: нет ссылок,Судно на воздушной подушке из обычного CD-диска!,физика,,2013
3,18,5,Мешает ли птицам попутный ветер,Оглянись вокруг,Николай Константинов,Ирина Смирнова,,,физика,,2013
4,7,1,Механика кучи,Смотри!,Константин Богданов,,Фото: Дмитрий Зарубин,,физика,,2013
4,10,2,Телефон,Своими руками,Александр Бердников,Ирина Гумерова,Фото: Лидия Широнина,Как сделать телефон из пластиковых стаканчиков?,физика,,2013
4,34,1,Теплотрасса и рельсы,Задачи в картинках,,Инна Капустенко,,,физика,,2013
5,10,4,Джордж Гамов,Великие умы,Светлана Ковалёва,,Фото: нет ссылок,,физика,,2013
5,18,2,Кожа сохнет...,Оглянись вокруг,Борис Булюбаш,Ирина Смирнова,,Почему зимой кожа сохнет?,физика,,2013
6,8,2,На высоте,Оглянись вокруг,Борис Булюбаш,Анастасия Васильева,,Где лучше всего ставить олимпийские рекорды?,физика,,2013
6,34,1,Шерлок Холмс и самопереливающийся бензин,Комикс,,Дарья Котова,,,физика,,2013
7,8,5,Шерлок Холмс и самопереливающийся бензин,Оглянись вокруг,Александр Бердников ; Сергей Дориченко,Дарья Котова,,Разгадка трюка с бензином от Шерлока Холмса!,физика,,2013
7,19,5,Вильгельм Рентген,Великие умы,Борис Дружинин,,"Фото: Norbert Fust, на остальные фото ссылок нет",,физика,,2013
8,12,4,Жидкое зеркало,Оглянись вокруг,Александр Бердников,,"Фото: Лидия Широнина, Фото 3-6: нет ссылок",О жидких зеркалах.,физика,,2013
8,34,1,В какую сторону крутится Земля?,Задачи в картинках,,Артём Костюкевич,,,физика,,2013
9,6,2,Зачем нужны водонапорные башни,Преданья старины,Сергей Дворянинов,,"Фото: А. Савин; Фото: Антон Акимов, Отальные фото: ссылок нет",Зачем нужны водонапорные башни.,физика,,2013
9,18,5,Сканирующий зондовый микроскоп,Как это устроено,Анастасия Большакова ; Александр Белецкий,Дарья Котова,Фото: ссылок нет,Сканирующий зондовый микроскоп (и столько примеров этого явления вокруг нас - рукой подать).,физика,,2013
9,26,1,В какую сторону крутится Земля?,Оглянись вокруг,Максим Прасолов,,Фото: Robert Knapp,,физика,,2013
10,5,1,Луч света в тёмном царстве,Улыбнись,Борис Дружинин,Наталья Гаврилова,,,физика,,2013
10,16,2,Немного физики из яйца,Как это устроено,Константин Богданов,Анастасия Слепцова,,"Помимо желтка и белка, куриное яйцо скрывает в себе множество физических загадок!",физика,,2013
11,7,1,Как 'увидеть' инфракрасное излучение?,Опыты и эксперименты,Константин Богданов,Дарья Котова,,"Как «увидеть» невидимое инфракрасное излучение (странно, как вообще можно увидеть невидимое?...).",физика,,2013
11,18,2,Превращения веществ на службе у изобретателя,Давайте изобретать,Глеб Погудин,Елена Бугренкова,,"Почему важно знать физику, чтобы делать конфеты.",физика,,2013
11,24,2,Человек-магнит,Улыбнись,Сергей Дворянинов,Татьяна Ахметгалиева,,,физика,,2013
12,2,2,История с трафаретом,Математические сюрпризы,Сергей Дворянинов,Виктор Пяткин,,,физика,,2013
12,15,3,Снежинки,Научная фотография,Александр Бердников,,Фото: http://www.anri.barc.usda.gov/emusnow/default.htm,"снежинки под микроскопом (кстати, какой микроскоп лучше для изучения снежинок?) .",физика,,2013
12,34,1,Где разорвётся верёвочка?,Задачи в картинках,Яков Перельман,Александра Будилкина,,,физика,,2013
3,2,3,Винтовая линия,Своими руками,Сергей Дворянинов,Артём Костюкевич,,В какую сторону закручивали винтовую лестницу в военных башнях и почему?,"смекалка, физика",,2014
4,2,1,Опыт 1. Любит ли лист бумаги бокал с водой?,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,"Новая рубрика ""Четыре стихии Эмпедокла""! Ждём ваших объяснений опытов.",физика,,2014
4,3,1,Опыт 2. Почему спичка ненавидит мыло?,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,,физика,,2014
4,8,1,Жёсткая конструкция,Своими руками,Максим Прасолов,Анастасия Мошина,,"Можно ли из верёвок и трёх палок сделать жёсткую конструкцию, если палки не должны касаться?",физика,,2014
